group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_4467a039e00b,PS_051,PS_043,SplineRidge,CS4_R9,True,,791,504,20,0.6371681415929203,0.5040168921534446,6,0.06452416657200559,0.08501088126191034,-0.020486714689904748,-0.2409893226113861,True
TW_4467a039e00b,PS_051,PS_044,SplineRidge,CS4_R9,True,,835,179,20,0.21437125748502994,0.5040168921534446,6,0.09449058644356843,0.06876327870016231,0.02572730774340612,0.3741431215865713,True
TW_4467a039e00b,PS_051,PS_045,SplineRidge,CS4_R9,True,,732,157,18,0.21448087431693988,0.5040168921534446,6,0.06140784069118713,0.05520706054108746,0.006200780150099665,0.11231860724562175,True
TW_4467a039e00b,PS_051,PS_046,SplineRidge,CS4_R9,True,,570,185,16,0.32456140350877194,0.5040168921534446,6,0.06680173403715448,0.06841018912219224,-0.0016084550850377632,-0.023511922795079382,True
TW_4467a039e00b,PS_051,PS_047,SplineRidge,CS4_R9,True,,576,156,16,0.2708333333333333,0.5040168921534446,6,0.06904031312644009,0.05715499580964361,0.011885317316796477,0.20794887915626614,True
TW_4467a039e00b,PS_051,PS_048,SplineRidge,CS4_R9,True,,739,83,17,0.11231393775372124,0.5040168921534446,6,0.03781265041401017,0.03063334355199872,0.007179306862011448,0.23436249620694843,True
TW_4467a039e00b,PS_051,PS_049,SplineRidge,CS4_R9,True,,710,166,17,0.23380281690140844,0.5040168921534446,6,0.05927038499359114,0.06122547858240475,-0.001955093588813607,-0.031932679565455785,True
TW_4467a039e00b,PS_051,PS_050,SplineRidge,CS4_R9,True,,841,133,20,0.1581450653983353,0.5040168921534446,6,0.053798767259935674,0.05080290911639447,0.0029958581435412038,0.05897020851064646,True
TW_88a108921af7,PS_035,PS_039,SplineRidge,CS4_R9,True,,1318,736,37,0.5584218512898331,0.5378490576046681,6,0.065454881856832,0.07870845383597484,-0.013253571979142842,-0.1683881633193143,True
TW_88a108921af7,PS_039,PS_035,SplineRidge,CS4_R9,True,,1628,673,43,0.4133906633906634,0.49852846726282063,6,0.05895508866370865,0.06354279276929202,-0.0045877041055833664,-0.0721986539408202,True
